GEO_ID,total_workers,workers_using_transit,total_households,mean_income,percent_w_assistance,percent_white,percent_black_or_african_american
53033031603,2840,0.9,2141,111008,10.5,82.5,0.5
53033031907,3890,3.0,2773,102871,5.0,59.7,4.9
53033032002,1413,0.0,1234,107176,6.5,89.3,0.5
53033032103,2872,9.4,2152,90047,5.6,83.7,0.5
53033032307,3283,5.2,2191,174671,0.6,88.1,1.4
53033032005,4175,3.3,2520,101394,8.2,84.3,3.4
53033032203,3621,5.8,2658,181012,1.6,67.0,0.0
53033032208,4060,11.7,4226,123264,2.8,72.2,2.9
53033032601,1473,1.2,1086,114495,6.2,97.0,0.0
53033001400,3411,16.4,2333,99229,12.6,76.2,0.7
53033001800,3809,24.2,2289,98548,7.7,69.9,0.6
53033002000,2222,16.2,1668,119168,4.9,84.1,0.1
53033002500,1833,16.2,1311,124826,6.9,84.5,1.2
53033002600,2772,17.5,1935,120515,3.1,83.4,1.1
53033004500,2085,28.0,1024,134931,4.9,80.5,1.1
53033004700,5960,27.3,5328,104562,3.3,79.8,1.8
53033005100,2203,22.2,1655,133056,3.9,86.1,0.8
53033006700,6274,19.3,4728,120870,0.7,70.0,0.9
53033010100,4193,20.2,3105,101605,29.6,39.0,30.6
53033010900,709,27.6,620,66716,12.7,81.2,1.7
53033011102,2434,14.4,1486,105004,11.2,43.9,10.6
53033032500,3030,1.2,2003,125043,5.5,91.9,1.2
53033000401,3284,13.2,3760,55231,24.3,60.6,13.7
53033001300,2889,18.9,2263,97297,14.0,62.4,3.9
53033001500,1441,19.6,1118,131142,0.8,90.7,0.0
53033002100,2413,18.4,1782,125934,8.3,79.5,0.4
53033003600,4204,31.0,3542,92806,5.8,77.0,1.7
53033003800,1142,19.3,868,142727,1.5,80.6,1.7
53033006100,3748,20.0,2984,147588,2.7,82.5,0.7
53033032602,6511,4.6,4271,165489,4.4,80.6,0.8
53033009800,4071,15.3,3127,118453,5.6,86.6,0.5
53033011300,3613,14.9,3012,72095,18.4,49.0,5.7
53033028300,2718,9.4,1925,88193,7.9,49.1,11.3
53033028500,2084,11.2,1631,76050,14.2,54.8,13.7
53033005900,4681,11.2,2771,146159,1.0,80.4,2.3
53033005200,3890,29.3,2959,66563,6.2,57.9,1.0
53033005700,3846,20.7,2850,149503,2.3,83.2,1.5
53033005802,3938,16.5,2858,106038,9.1,74.2,6.1
53033006200,2520,18.4,1651,226378,3.1,86.3,1.2
53033007300,4274,20.0,4291,108399,11.8,63.7,9.2
53033007600,2694,34.2,2180,102417,6.7,82.1,4.0
